"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SOLANO","Residential","    1078.745041","    1029.371072","    1069.989087","    1015.877696","    1012.251946","    1007.803874","    1020.479823","    1019.931396","    1013.181025","    1003.248589","    1021.109642","    1029.977773","    1011.912446","    1052.939744","     999.957178","     989.458865","     990.766941","     908.862781","     877.676392","     939.742540","     904.291652","     880.819057","     854.771901","     843.261815","     792.330617","     778.884335","     796.996857","     763.352506","     760.420748","     753.056817","   28221.470156"
"SONOMA","Residential","    1294.976991","    1253.889000","    1324.830145","    1299.600928","    1280.549128","    1286.568562","    1346.762575","    1354.999241","    1359.617673","    1346.275943","    1321.034978","    1304.183595","    1272.999943","    1299.774533","    1230.139195","    1225.967605","    1187.259350","    1152.594273","    1117.001221","    1199.609190","    1191.103755","    1140.427771","    1099.953577","    1061.282895","    1032.481043","    1024.717927","    1027.350417","     989.660199","     998.355312","     987.923198","   36011.890163"
"STANISLAUS","Residential","    1800.757437","    1800.736015","    1840.162714","    1718.251528","    1701.156173","    1716.568160","    1693.104334","    1691.949022","    1661.389488","    1630.226691","    1714.553598","    1709.072802","    1677.290518","    1731.773691","    1651.936150","    1618.950420","    1609.938768","    1504.593933","    1429.157446","    1447.537253","    1377.489813","    1367.577234","    1331.017855","    1331.309900","    1244.928194","    1255.780030","    1219.004491","    1291.823418","    1301.658558","    1196.224573","   46265.920207"
"SUTTER","Residential","     287.846508","     276.718076","     289.839842","     272.673987","     272.792832","     276.569295","     275.095597","     279.172837","     271.286163","     265.456637","     276.737699","     277.208328","     273.686181","     275.701653","     258.934494","     253.883482","     245.288760","     228.446333","     218.281602","     232.958914","     226.282229","     222.022397","     221.102650","     219.973839","     203.000605","     203.671153","     200.471983","     201.911746","     194.811427","     191.661435","    7393.488684"
"TEHAMA","Residential","     241.786407","     230.819204","     239.584941","     229.192708","     229.195633","     231.001181","     237.382566","     238.812731","     233.890662","     233.300097","     237.971587","     234.109163","     230.516812","     227.490277","     214.094859","     216.059480","     202.298376","     198.324033","     189.920760","     200.151209","     197.215782","     191.372709","     187.591870","     186.971977","     177.708536","     176.948991","     173.922991","     176.012138","     175.080818","     171.136295","    6309.864793"
"TRINITY","Residential","       9.686735","      10.059306","      11.455945","      10.823991","      10.094695","      10.266434","      11.060451","      11.336818","      11.471566","      11.181315","      10.582675","       9.961227","       9.410292","       8.547757","       8.257783","       8.393308","       7.838944","       7.947023","       7.554643","       7.868440","       7.574803","       7.393925","       7.337407","       7.248651","       7.045808","       7.025787","      17.383441","      25.816312","      26.623264","      26.298566","     333.547312"
"TULARE","Residential","    1261.684312","    1253.761079","    1275.859738","    1215.818157","    1215.659559","    1221.371347","    1206.360398","    1181.907166","    1162.310965","    1139.409593","    1187.727072","    1161.751981","    1117.440744","    1191.625171","    1085.292205","    1046.677667","    1037.993510","     941.862252","     923.793519","     961.793645","     889.036948","     890.108631","     875.533090","     875.439751","     829.967205","     834.705547","     812.396109","     820.298247","     807.148766","     788.669980","   31213.404354"
"TUOLUMNE","Residential","     214.412592","     208.350588","     216.928142","     209.250363","     206.552491","     206.254682","     219.980049","     220.554493","     220.714282","     223.064206","     224.548867","     224.797158","     223.186954","     219.307603","     213.704392","     217.987055","     207.067087","     208.125792","     200.323044","     207.413963","     206.826367","     203.618627","     191.286347","     189.765704","     186.285027","     185.058503","     187.026583","     181.083104","     186.355869","     184.325696","    6194.155630"
"VENTURA","Residential","    1761.250970","    1790.101090","    1825.993758","    1777.088250","    1816.261284","    1904.791753","    1901.541572","    1918.700627","    1800.669449","    1788.745688","    1855.011220","    1891.100563","    1840.880221","    1764.983602","    1785.589000","    1743.596541","    1692.266324","    1582.510178","    1533.134693","    1652.825475","    1519.146603","    1462.680976","    1481.608592","    1426.889935","    1385.918311","    1395.507016","    1351.133971","    1371.460201","    1348.884490","    1349.773045","   49720.045398"
"YOLO","Residential","     538.777615","     514.508284","     537.975047","     508.285125","     505.495559","     507.245608","     510.123664","     512.792936","     500.097735","     494.328182","     514.544460","     508.019185","     498.377994","     511.735415","     492.443526","     473.868053","     473.471103","     437.403605","     416.859409","     444.357399","     419.297208","     407.010551","     401.931353","     395.182263","     364.965623","     362.160463","     366.895768","     366.594257","     361.263298","     361.662528","   13707.673216"
"YUBA","Residential","     227.900924","     218.676051","     228.012126","     213.948493","     209.111542","     214.329404","     212.254061","     215.579687","     208.695127","     203.694219","     205.271476","     200.069567","     198.652701","     193.655722","     183.273705","     171.569618","     158.191017","     154.455703","     148.306629","     155.189758","     151.844232","     148.137424","     146.173412","     148.199468","     139.638867","     141.866205","     140.554885","     141.721570","     139.556078","     137.659067","    5356.188738"
